Fecha,Sentiment,counts,granularidad
2022-11-20,negative,5784,dia
2022-11-20,neutral,8251,dia
2022-11-20,positive,8489,dia
0,negative,38,hora
0,neutral,80,hora
0,positive,77,hora
1,negative,38,hora
1,neutral,68,hora
1,positive,73,hora
2,negative,25,hora
2,neutral,72,hora
2,positive,68,hora
3,negative,31,hora
3,neutral,73,hora
3,positive,66,hora
4,negative,52,hora
4,neutral,96,hora
4,positive,102,hora
5,negative,30,hora
5,neutral,79,hora
5,positive,121,hora
6,negative,27,hora
6,neutral,105,hora
6,positive,153,hora
7,negative,68,hora
7,neutral,134,hora
7,positive,187,hora
8,negative,73,hora
8,neutral,209,hora
8,positive,233,hora
9,negative,114,hora
9,neutral,264,hora
9,positive,287,hora
10,negative,91,hora
10,neutral,257,hora
10,positive,315,hora
11,negative,114,hora
11,neutral,308,hora
11,positive,382,hora
12,negative,118,hora
12,neutral,342,hora
12,positive,405,hora
13,negative,21,hora
13,neutral,195,hora
13,positive,233,hora
14,negative,189,hora
14,neutral,661,hora
14,positive,687,hora
15,negative,805,hora
15,neutral,1177,hora
15,positive,1909,hora
16,negative,3094,hora
16,neutral,2833,hora
16,positive,1972,hora
17,negative,249,hora
17,neutral,306,hora
17,positive,278,hora
18,negative,207,hora
18,neutral,373,hora
18,positive,324,hora
19,negative,110,hora
19,neutral,188,hora
19,positive,207,hora
20,negative,58,hora
20,neutral,90,hora
20,positive,112,hora
21,negative,59,hora
21,neutral,77,hora
21,positive,75,hora
22,negative,114,hora
22,neutral,162,hora
22,positive,130,hora
23,negative,59,hora
23,neutral,102,hora
23,positive,93,hora
